#_	_
button.back	Back
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.text	You may sell one Item each turn for double price (other Items are at normal price).<br>If you fail your initial Run Away roll, you may discard a card and try once more.
base.door.97567e5e-96cf-4ddb-9112-2fce279a0138.text	You may sell one Item each turn for double price (other Items are at normal price).<br>If you fail your initial Run Away roll, you may discard a card and try once more.
base.door.6e83b590-71df-48b3-acdc-481e1a2be7fe.text	You may sell one Item each turn for double price (other Items are at normal price).<br>If you fail your initial Run Away roll, you may discard a card and try once more.
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.text	You may have two Race cards, and have all the advantages <i>and</i> disadvantages of each. Or you may have one Race card and have all of its advantages and <i>none</i> of its disadvantages (for example, monsters that hate Elves will have no bonus against a half-Elf). Lose this card if you lose your Race card(s).
base.door.bf201553-be7c-4479-a7a0-9cc417588198.text	You may have two Race cards, and have all the advantages <i>and</i> disadvantages of each. Or you may have one Race card and have all of its advantages and <i>none</i> of its disadvantages (for example, monsters that hate Elves will have no bonus against a half-Elf). Lose this card if you lose your Race card(s).
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.text	Will not pursue anyone of Level 4 or below.<br>If you defeat this monster on your turn, gain an extra level.
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.text	Slimy! Elves are at -4! Will not pursue anyone of Level 4 or below <i>except Elves</i>.
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.text	Will not pursue anyone of Level 3 or below.<br>If you defeat this monster on your turn, gain an extra level.
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.text	Will not pursue anyone of Level 3 or below. Higher-Level characters lose two levels, <i>even if they escape</i>.<br>If you defeat this monster on your turn, gain an extra level.
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.text	Will not pursue anyone of Level 3 or below. Higher-Level characters lose two levels, <i>even if they escape</i>.<br>If you defeat this monster on your turn, gain an extra level.
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.text	Your Level does not count. Fight him only with your bonuses!
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.text	You may choose whether to fight the Stoned Golem or just wave, walk past and let him keep his treasure. (<b>Exception:</b> Halflings look tasty and must fight.)
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.text	+4 against Warriors.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.text	+3 against Dwarves and Halflings.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.text	A creature from Hell. +4 against Clerics. You must discard one item (your choice) <i>before combat</i>.
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.text	Instead of fighting, a Cleric can chase the Wannabe Vampire away just by going “booga booga,” and take all his Treasure. There is no Level increase for this!
base.door.55e5c91e-a987-4900-abec-0f502175288a.text	+6 against Dwarves, due to ancient grudges.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.text	If you don’t want to fight the Floating Nose, you can bribe it with an Item worth at least 200 Gold Pieces, and it will let you go.
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.text	He has no special powers, and he’s really mad about it.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.text	Will not attack females; just gives them one Treasure instead.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.text	No one can help you. You must face the Gazebo alone.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.text	No Items or other bonuses help against them -- fight with your Level only.
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.text	It’s gross! +6 against Elves.
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.text	Will not attack a Thief (professional courtesy). A Thief encountering a lawyer may instead discard two Treasures and draw two new ones face down.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.text	Resists magic. +6 against Wizards.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.text	Gain an extra level if you kill it without using help or bonuses.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.text	+6 against Warriors.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.text	They resist magic. +5 against Wizards.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.text	He’s gross! +5 against Elves.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.text	-2 to Run Away.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.text	+5 against Dwarves.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.text	-1 to Run Away.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.text	+1 to Run Away.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.text	Fried chicken is delicious. Gain an <i>extra</i> level if you kill it with fire or flame.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.text	If you can’t defeat it, you may distract it (automatic escape) by dropping any wand, pole, or staff. (Fetch, Fido!)
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.text	Cannot be Outrun!
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.text	Yucky slime! +4 against Elves.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.text	+1 to Run Away.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.text	A creature from Hell. +3 against Clerics.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.text	Elves draw an extra Treasure after defeating it.
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.text	+10 to Monster<br>Play during any combat. If the monster is defeated, draw two extra Treasures.
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.text	-5 To Monster<br>Play during any combat. If the monster is defeated, draw one <i>fewer</i> Treasure (minimum of 1).
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.text	+5 to Monster<br>Play during any combat. If the monster is defeated, draw one extra Treasure.
base.door.45814a37-7d87-4333-8e69-3068628f2474.text	+10 to Monster<br>Play during any combat. If the monster is defeated, draw two extra Treasures.
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.text	+5 to Monster<br>Play during any combat. If the monster is defeated, draw one extra Treasure.
base.door.b95cafbd-d581-43ff-a08b-39979135b256.text	Another monster appears, of the same Level and with all the same Monster Enhancers. If the monsters are defeated, draw treasure for each and go up levels for each.
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.text	Play this card, with a monster from your hand, when someone (including you!) is in combat. Your monster joins the one already fighting – add their combat strengths. If the character(s) must flee, resolve the Run Away attempts separately, <i>in the order the victim chooses.</i>
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.text	Play this card with an Item card you have in play, or when you play an Item card from your hand. This Item is legal for you to use even if it otherwise would not be. Discard this card when you lose (sell, etc.) the attached Item.
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.text	You must play this card as soon as you get it.<br>All Clerics immediately go up a level. This can be the winning level. If this card makes you win, you are entitled to mock the other players mercilessly.
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.text	Play this card while you are losing a combat. Take one Item from any other player. At the moment you take it, that Item must make the difference between your winning and losing that combat. You may discard something of your own before taking the Item, if you wish.
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.text	Play this card during any combat. Discard any one monster in this combat, along with any cards that have been played to modify it, and replace with a monster card from your hand.
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.text	The monster in this room is on break. Play this card during any combat. The player facing the monster(s) discards them all and draws two Treasure cards immediately.
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.badstuff	You are roasted and eaten. You are dead.<br>If you defeat this monster on your turn, gain an extra level.
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.badstuff	His bony touch costs you two levels.
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.badstuff	You are flayed to death.
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.badstuff	You are grabbed, slimed, crushed, and gobbled. You are dead, dead, dead. Any questions?<br> If you defeat this monster on your turn, gain an extra level.
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.badstuff	You are stomped and chomped. You drop things as you flee. Starting with the player before you in turn order, each player may take one Treasure card from in front of you or (without looking) from your hand.
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.badstuff	Lose all your Items and all cards in your hand.
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.badstuff	You are reduced to Level 1.
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.badstuff	You buy insurance. Lose 1,000 Gold Pieces’ worth of items. If you don’t have that much, lose all you have.
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.badstuff	He has the munchies. He eats you. You’re dead.
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.badstuff	Unspeakably awful death for anyone but a Wizard. A Wizard merely loses his powers – discard the Wizard card.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.badstuff	Stomps you flat and eats your hat. Lose the Headgear you were wearing.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.badstuff	A really disgusting kiss costs you two levels (three for Elves).
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.badstuff	Blocks the door and tells you about <i>his</i> character. Lose three levels.
base.door.55e5c91e-a987-4900-abec-0f502175288a.badstuff	Roll a die. On a 2 or less, they stomp you to death. Otherwise, lose as many levels as the die shows.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.badstuff	It can sniff you out anywhere. If you lose, you <i>cannot</i> flee; nothing will help you. Lose three levels.
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.badstuff	Screws up the game balance by forcing you to let the player(s) of the highest Level take any one Item (each) from you.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.badstuff	You have had your butt kicked by a woman. Your macho munchkin pride is lost. Lose your Class(es). If you already had no Class, lose three levels.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.badstuff	Lose three levels.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.badstuff	Your Level becomes equal to the lowest Level of any character in play.
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.badstuff	When it sucks your face off, your Headgear goes with it. Discard the Headgear you are wearing, and lose a level.
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.badstuff	He hits you with an injunction. Let each other player draw one card from your hand, starting with the player after you in turn order. Discard any remainder.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.badstuff	Either discard your whole hand or lose two levels.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.badstuff	Projectile vomiting attack! Discard your whole hand.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.badstuff	You become a normal, boring Human. Discard any Race or Class cards in play.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.badstuff	Their music is really, really bad. Lose 2 levels.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.badstuff	He takes two items from you – chosen by the players before and after you in turn order.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.badstuff	They steal your treasure. Roll a die and lose that many items or cards in your hand – your choice.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.badstuff	Kicks, bites, and smells awful. Lose two levels.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.badstuff	They bite! Lose two levels.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.badstuff	Drop all your Big items.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.badstuff	Very painful pecking. Lose a level.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.badstuff	Fang marks in your butt. Lose two levels.
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.badstuff	Discard Armor and <i>all</i> Items worn below the waist.
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.badstuff	Discard the Footgear you are wearing. Lose a level if you have no Footgear.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.badstuff	He whacks you with his crutch. Lose a level.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.badstuff	She whacks you. Lose a level.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.badstuff	None. Escape is automatic.
monster.thumbnail.rewardlevels	{0} Levels
monster.thumbnail.treasures	{0} Treasures
monster.badstuff	<b><i>Bad Stuff:</i></b> {0}
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.name	1,000 Gold Pieces
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.name	Boil an Anthill
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.name	Bribe GM With Food
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.name	Convenient Addition Error
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.name	Invoke Obscure Rules
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.name	Kill the Hireling
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.name	Mutilate the Bodies
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.name	Potion of General Studliness
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.name	Whine at the GM
base.treasure.377084fc-4baa-4efa-944b-fd090892c031.name	Bad-Ass Bandana
base.treasure.eb7c59af-c029-4b93-bf65-1cca669e1d1a.name	Boots of Butt-Kicking
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.name	Boots of Running Really Fast
base.treasure.a93afb4f-fc2a-489b-9f94-e5ee450af48f.name	Bow With Ribbons
base.treasure.f08f4fef-42c6-4b3e-b189-cc5dd37d00a8.name	Broad Sword
base.treasure.57f25b88-39fc-448c-b345-bcd6f8cf18d9.name	Buckler of Swashing
base.treasure.0ec11cb6-b54b-4149-907f-c5c593de9f83.name	Chainsaw of Bloody Dismemberment
base.treasure.b25c2d56-b5b7-4f69-ad18-50218663e904.name	Cheese Grater of Peace
base.treasure.d2e348c6-1d45-4de2-b4ba-f1b5299594f7.name	Cloak of Obscurity
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.name	Cotion of Ponfusion
base.treasure.b7b46f34-6a41-46ec-8931-df8080fc7e91.name	Dagger of Treachery
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.name	Doppleganger
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.name	Electric Radioactive Acid Potion
base.treasure.8ff92ccf-abcf-4190-b405-828766f21113.name	Eleven-Foot Pole
base.treasure.c6fe1a3b-7c10-4703-b4fb-497bb375389f.name	Flaming Armor
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.name	Flaming Poison Potion
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.name	Flask of Glue
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.name	Freezing Explosive Potion
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.name	Friendship Potion
base.treasure.89a4bc60-e43e-4145-a2af-a82600c9c261.name	Gentlemen’s Club
base.treasure.24b6690b-4ac7-4ad0-b8b2-14e93e59d441.name	Hammer of Kneecapping
base.treasure.960594e9-a865-42ea-ba5a-461f8063681d.name	Helm of Courage
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.name	Horny Helmet
base.treasure.d161d2e4-ac68-4c7b-9717-0622bc3bc9cb.name	Huge Rock
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.name	Instant Wall
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.name	Invisibility Potion
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.name	Kneepads of Allure
base.treasure.67b44251-96b9-431a-ac9d-f733809e7097.name	Leather Armor
base.treasure.4e5de80a-9f85-42e7-8cf7-9e226f499824.name	Limburger and<br>Anchovy Sandwich
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.name	Loaded Die
base.treasure.465e86f2-0caf-40cc-a01d-28009a2aaf4c.name	Mace of Sharpness
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.name	Magic Lamp
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.name	Magic Missile
base.treasure.e712b749-e3ea-4d07-9169-72c33baea44f.name	Mithril Armor
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.name	Nasty-Tasting Sports Drink
base.treasure.a4b9df0f-71ad-4e20-9c61-cc2e6822d44d.name	Pantyhose of Giant Strength
base.treasure.e0b9571f-352f-4728-b29c-eee1d4870e7b.name	Pointy Hat of Power
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.name	Pollymorph Potion
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.name	Potion of Halitosis
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.name	Potion of Idiotic Bravery
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.name	Pretty Balloons
base.treasure.f8f3606d-0532-46bf-aeba-060b370ca22a.name	Rapier of Unfairness
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.name	Rat on a Stick
base.treasure.4a44eff7-1d4d-43bc-8994-9d9e0533cfaf.name	Really Impressive Title
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.name	Sandals of Protection
base.treasure.40c01965-1169-4e05-a1c1-fc8719bb36bf.name	Shield of Ubiquity
base.treasure.91af4f9b-1ab3-4e6d-a606-ee73d9511354.name	Short Wide Armor
base.treasure.a7cfecc2-8f03-469c-86d1-eca7abd48563.name	Singing &<br>Dancing Sword
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.name	Sleep Potion
base.treasure.e40ee953-081e-4b41-b095-0ca9ad681d8a.name	Slimy Armor
base.treasure.f1a6aaf7-47ca-4952-b46b-b2e9bd5ae27a.name	Sneaky Bastard Sword
base.treasure.61bb425e-f07a-4db1-87cc-2fc4b8802c51.name	Spiky Knees
base.treasure.9cc482d6-25ea-4502-bb10-12ed4deff95e.name	Staff of Napalm
base.treasure.af9daf73-1d23-4ac1-b3c2-88bc10587054.name	Stepladder
base.treasure.70b796bf-98e7-401d-b36f-e71399a3c403.name	Swiss Army Polearm
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.name	Transferral Potion
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.name	Tuba of Charm
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.name	Wand of Dowsing
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.name	Wishing Ring
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.name	Yuppie Water
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.name	Hireling
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.name	Hoard!
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.name	Steal a Level
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.text	Go Up a Level
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.text	Go Up a Level
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.text	Go Up a Level
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.text	Go Up a Level
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.text	Go Up a Level
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.text	Go Up a Level<br>You can use this card only if a Hireling is in play (no matter who owns him). Discard the Hireling.
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.text	Go Up a Level<br>This card can be played only after combat, but it does not have to be your combat.
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.text	Go Up a Level
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.text	Go Up a Level<br>You can’t use this if you are currently the highest-Level player, or tied for highest.
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.text	Gives you +2 to Run Away.
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.text	Use during any combat. +3 to either side. Usable once only.
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.text	Summons your exact duplicate, who fights beside you, so you double your combat strength. You may use the Doppleganger only when you are the only player in the combat. Usable once only.
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.text	Use during any combat. +5 to either side. Usable once only.
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.text	Use during any combat. +3 to either side. Usable once only.
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.text	Use when someone successfully escapes a combat for any reason. They must re-roll their escape (even if it was automatic the first time). Usable once only.
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.text	Use during any combat. +3 to either side. Usable once only.
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.text	Use during any combat. Discard all monsters in the combat. No Treasure is gained, but the player may Loot The Room. Usable once only.
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.text	(+3 for Elves)
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.text	Allows automatic escape, for one or two players, from any fight. Usable once only.
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.text	Use when your Run Away roll fails. You escape automatically. Usable once only.
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.text	No player with a Level higher than yours can refuse your request for help against a monster, or even ask for a reward. You cannot gain the winning level in a combat where your helper was compelled by the Kneepads.
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.text	Play after you roll the die, for any reason. Turn the die so the number of your choice is on top. That's your roll.<br>Usable once only.
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.text	You may use the Lamp only on your turn. It summons a genie who makes a single monster vanish, even if you had already failed your Run Away roll and it was about to catch you. If it was the only monster you were facing, you may take its treasure, but you don’t gain a level. Usable once only.
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.text	Use during any combat. +5 to either side. Usable once only.
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.text	Use during any combat. +2 to either side. Usable once only.
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.text	Use during any combat. Turns any one monster into a parrot, which flies away, leaving its treasure behind. Usable once only.
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.text	Use during any combat. +2 to either side, or instantly kills the <b>Floating Nose</b>. Usable once only.
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.text	Use during any combat. +2 to either side. Usable once only.
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.text	Play during any combat, for distraction. +5 to either side. Usable once only.
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.text	Hey, it’s better than nothing!<br>You may discard this Item, even if you are only carrying it, for an automatic escape from any monster of Level 8 or below.
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.text	Curse cards which you draw when kicking open the door have no effect. (Curses cast by other players will still affect you.)
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.text	Use during any combat. +2 to either side. Usable once only.
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.text	Play during any combat. Any other player (your choice) fights the monster(s), may ask for help normally, and gets the Treasure and levels if he wins. The original player then resumes his turn, and may Loot The Room whether the combat was won or lost. Usable once only.
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.text	This melodious instrument captivates your foes, giving you +3 to Run Away. If you successfully escape combat, snag a face-down Treasure on your way out.
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.text	Go through the discards to find any one card you want. Take that card and discard this one. Usable once only.
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.text	Cancels any Curse. Play at any time. Usable once only.
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.text	Use during any combat. Usable once only, and only to help Elves. +2 to each Elf in the battle.
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.text	Allows you to carry and use one extra Item, even if you could not otherwise. If you lose your Hireling, the Item goes, too.<br>You may discard your Hireling for an automatic escape from any monster.<br>Keep this card in front of you, with your treasures.
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.text	Draw three more Treasure cards immediately. They are face-down if you drew this card face-down; otherwise, they are face-up.
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.text	Pick one player to steal a level from. You go up one. He goes down one.
kin.item.requirements.class.cleric	Usable by Cleric Only
kin.item.requirements.class.thief	Usable by Thief Only
kin.item.requirements.class.warrior	Usable by Warrior Only
kin.item.requirements.class.wizard	Usable by Wizard Only
kin.item.requirements.race.human	Usable by Human Only
kin.item.requirements.race.dwarf	Usable by Dwarf Only
kin.item.requirements.race.elf	Usable by Elf Only
kin.item.requirements.race.halfling	Usable by Halfling Only
kin.item.requirements.gender.male	Usable by Males Only
kin.item.requirements.gender.female	Usable by Females Only
kin.item.requirements.notclass.cleric	Not Usable by Cleric
kin.item.requirements.notclass.thief	Not Usable by Thief
kin.item.requirements.notclass.warrior	Not Usable by Warrior
kin.item.requirements.notclass.wizard	Not usable by Wizard
kin.item.requirements.notrace.human	Not usable by Human
kin.item.requirements.notrace.dwarf	Not usable by Dwarf
kin.item.requirements.notrace.elf	Not usable by Elf
kin.item.requirements.notrace.halfling	Not usable by Halfling
rules.askingforhelp.1	Asking For Help
rules.askingforhelp.2	If you cannot win a combat on your own, you may ask any other player to help you. If they refuse, you may ask another player, and so on, until they all turn you down or someone helps. Only one player can help you, adding their combat strength to yours. Anyone can play cards to affect your combat, however!<br><br>You’ll probably have to bribe someone to help. You may offer your helper any Item(s) you are currently carrying, or any number of the Treasure cards the monster has. If you offer part of the monster’s Treasure, you must agree whether they pick first, or you pick first, or whatever.<br><br>The special abilities or vulnerabilities of the monster also apply to your helper, and vice versa. For instance, if a Warrior helps you, you will win if your combined total ties that of the monster, and your helper can Berserk and discard cards to add to their combat strength (but only once per combat, not once per monster). If you are facing the Wannabe Vampire and a Cleric helps you, they can chase it away automatically. But if you are facing the Drooling Slime and an Elf helps you, the monster’s combat strength is increased by 4 (unless you, too, are an Elf and the monster’s combat strength has already been increased).<br><br>If someone successfully helps you kill the monster, discard it, draw Treasures (see Rewards, below), and follow any special instructions on the monster card. You level up for each slain monster. Your helper does not go up any levels . . . unless the helper is an Elf, in which case they gain one level for each monster slain. Treasure cards are then distributed according to the agreement you reached.<br><br>A few cards or abilities allow you to compel another player to help you in combat. These abilities do not work if you are fighting for the win – and if you force someone to help and then the fight becomes one for the win, your helper gets to back out without penalty. However, if you voluntarily help someone, you don’t get to back out just because they’re about to win the game – so pay attention!
rules.askingforhelp.3	Running Away
rules.askingforhelp.4	If nobody will help you . . . or if somebody tries to help, and your fellow party members interfere so the two of you still cannot win . . . you must Run Away. You don’t get any levels or Treasure. You don’t even get to Loot the Room. And you don’t always escape unharmed . . .Roll the die. You escape on a 5 or more. Some Class and Race abilities and some Treasures make it easier or harder to Run Away from all monsters. And some monsters give you a bonus or penalty to your roll for that monster only.<br><br>If you fail to Run Away from a monster, it does Bad Stuff to you, as described on its card. If you are fleeing from multiple monsters, you roll separately to escape each one, in any order you choose, and suffer Bad Stuff from each one that catches you as soon as it catches you. If two players are cooperating and still can’t defeat the monster(s), they must both Run Away. They roll separately for each monster. The monster(s) CAN catch them both. Once you have resolved all Run Away rolls, discard the monster(s).
rules.characterstats.1	Character Stats
