#_	_
button.back	Retour
base.door.dda0c66f-0b6b-40dc-bd2c-4f0728c8089a.text	<b>Sort de vol :</b> après avoir jeté le dé pour déguerpir, vous pouvez défausser jusqu’à 3 cartes. Chacune vous confère un bonus de +1.<br><b>Sort de charme :</b> vous pouvez défausser toute votre main (minimum de trois cartes) pour charmer un Monstre, et un seul, au lieu de le combattre. Défaussez le Monstre et prenez son Trésor, mais ne gagnez pas de niveau. Si d’autres monstres participent au combat, combattez-les normalement.
base.door.3427143b-61fc-4317-a299-6c5333462a70.text	<b>Sort de vol :</b> après avoir jeté le dé pour déguerpir, vous pouvez défausser jusqu’à 3 cartes. Chacune vous confère un bonus de +1.<br><b>Sort de charme :</b> vous pouvez défausser toute votre main (minimum de trois cartes) pour charmer un Monstre, et un seul, au lieu de le combattre. Défaussez le Monstre et prenez son Trésor, mais ne gagnez pas de niveau. Si d’autres monstres participent au combat, combattez-les normalement.
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.text	En tant que super grosbill, vous pou- vez posséder 2 cartes de Classe, et dis- poser de tous les avantages et désavan- tages de chacune. Vous pouvez aussi choisir de n’avoir qu’une Classe et d’avoir tous ses avantages mais aucun désavantage (par exemple les monstres qui haïssent les Prêtres n’auront aucun bonus contre les super Prêtres).Vous perdez cette carte si vous perdez votre ou vos carte (s) de Classe.
base.door.26a21bc0-e8c9-49df-b088-67d1232fb7b6.text	En tant que super grosbill, vous pou- vez posséder 2 cartes de Classe, et dis- poser de tous les avantages et désavan- tages de chacune. Vous pouvez aussi choisir de n’avoir qu’une Classe et d’avoir tous ses avantages mais aucun désavantage (par exemple les monstres qui haïssent les Prêtres n’auront aucun bonus contre les super Prêtres).Vous perdez cette carte si vous perdez votre ou vos carte (s) de Classe.
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.text	Vous pouvez porter autant de Gros objets que vous voulez.<br>Vous pouvez avoir 6 cartes dans votre main.
base.door.11906a8f-4622-47bd-91ba-a6f5bedb0e5d.text	Vous pouvez porter autant de Gros objets que vous voulez.<br>Vous pouvez avoir 6 cartes dans votre main.
base.door.2faaf8ea-2915-42dc-a71a-91f7ef6c2b9f.text	Vous pouvez porter autant de Gros objets que vous voulez.<br>Vous pouvez avoir 6 cartes dans votre main.
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.text	+1 pour Déguerpir<br>Vous gagnez un niveau pour chaque monstre que vous avez aidé à tuer.
base.door.df82e0d2-07a4-47aa-b6cb-0a0281a2f2cc.text	+1 pour Déguerpir<br>Vous gagnez un niveau pour chaque monstre que vous avez aidé à tuer.
base.door.3b6f7658-e53f-4713-b447-16785e3eb036.text	+1 pour Déguerpir<br>Vous gagnez un niveau pour chaque monstre que vous avez aidé à tuer.
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.text	Vous pouvez vendre un objet par tour au double de son prix (les autres objets sont au prix normal).<br>Si vous ratez votre première tentative pour déguerpir, vous pouvez défausser une carte pour réessayer une fois.
base.door.97567e5e-96cf-4ddb-9112-2fce279a0138.text	Vous pouvez vendre un objet par tour au double de son prix (les autres objets sont au prix normal).<br>Si vous ratez votre première tentative pour déguerpir, vous pouvez défausser une carte pour réessayer une fois.
base.door.6e83b590-71df-48b3-acdc-481e1a2be7fe.text	Vous pouvez vendre un objet par tour au double de son prix (les autres objets sont au prix normal).<br>Si vous ratez votre première tentative pour déguerpir, vous pouvez défausser une carte pour réessayer une fois.
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.text	Vous pouvez avoir deux cartes de Race, et disposer de tous les avantages et désavantages de chacune. Vous pouvez aussi choisir de n’avoir qu’une Race et d’avoir tous ses avantages mais aucun désavantage (par exemple, les monstres qui haïssent les Elfes n’auront aucun bonus contre un demi-Elfe). Vous perdez cette carte si vous perdez votre ou vos carte(s) de Race.
base.door.bf201553-be7c-4479-a7a0-9cc417588198.text	Vous pouvez avoir deux cartes de Race, et disposer de tous les avantages et désavantages de chacune. Vous pouvez aussi choisir de n’avoir qu’une Race et d’avoir tous ses avantages mais aucun désavantage (par exemple, les monstres qui haïssent les Elfes n’auront aucun bonus contre un demi-Elfe). Vous perdez cette carte si vous perdez votre ou vos carte(s) de Race.
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.text	
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.text	
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.text	
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.text	
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.text	
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.text	Votre niveau ne compte pas. Vous le combattez uniquement avec vos bonus !
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.text	Vous pouvez combattre ce Golem complètement défoncé ou vous contenter de lui faire coucou et lui laisser son trésor. (Exception : les savoureux halfelins doivent combattre).
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.text	+4 contre les Guerriers
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.text	+3 contre les Nains et les Halfelins
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.text	Créature de l’enfer. +4 contre les Prêtres. Vous devez défausser un objet (que vous choisissez) avant le combat.
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.text	Au lieu de le combattre, un Prêtre peut chasser le Fan de Vampire en criant simplement « bouga bouga ! », et s’emparer de son trésor. Dans ce cas, il ne gagne aucun niveau.
base.door.55e5c91e-a987-4900-abec-0f502175288a.text	+6 contre les Nains, en raison d’une rancune obscure, certes, mais millénaire.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.text	Si vous ne voulez pas combattre le Nez flottant, achetez-le avec un objet qui vaut au moins 200 pièces d’or. Il vous laissera partir.
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.text	Il n’a aucun pouvoir spécial, et ça le rend furax.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.text	N’attaque ni les joueurs de sexe féminin, ni les joueurs masculins qui ont changé de sexe, mais se contente de leur donner 1 trésor.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.text	Nul ne peut vous aider. Vous devez affronter seul le Belvédère.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.text	Pour les combattre, vous ne pouvez utiliser aucun objet ni autre bonus ! Vous ne pouvez utiliser que votre niveau.
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.text	C’est dégueu ! +6 contre les Elfes
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.text	N’attaque pas les Voleurs (entre confrères…). Un Voleur qui rencontre un huissier peut choisir de défausser 2 cartes trésor et en tirer 2 nouvelles, face cachée
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.text	Résiste à la magie. +6 contre les Magiciens
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.text	Vous gagnez un niveau supplémentaire si vous le tuez seul et sans utiliser de bonus.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.text	+6 contre les Guerriers.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.text	Résistent à la magie. +5 contre les Magiciens.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.text	Mais il est dégueu ! +5 contre les Elfes.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.text	-2 pour Déguerpir.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.text	+5  contre les Nains.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.text	Malus de -1 pour Déguerpir.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.text	+1 au jet pour Déguerpir.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.text	Frit, c’est délicieux : vous gagnez donc 1 niveau supplémentaire instantanément si vous tuez le poulet avec du feu ou des flammes.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.text	Si vous ne pouvez le vaincre, vous pouvez le distraire (vous Déguerpissez automatiquement) en lâchant une baguette, un bâton ou une lance. Va chercher, Médor !
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.text	Impossible de Déguerpir !
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.text	Beeerk ! +4 contre les Elfes.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.text	+1 au jet pour Déguerpir.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.text	Créature de l’enfer. +3 contre les prêtres.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.text	Les Elfes tirent une carte Trésor supplémentaire après l’avoir vaincue.
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.text	+10 au monstre<br>À jouer pendant le combat. Si le monstre est vaincu, tirez 2 cartes trésor supplémentaires.
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.text	-5 (niveau minimum : 1)<br>À jouer pendant le combat. Si le monstre est vaincu, tirez 1 carte trésor en moins (minimum 1).
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.text	+5 au monstre<br>À jouer pendant un combat. Si le monstre est vaincu, tirez 1 carte trésor supplémentaire.
base.door.45814a37-7d87-4333-8e69-3068628f2474.text	+10 au monstre<br>À jouer pendant le combat. Si le monstre est vaincu, tirez 2 cartes trésor supplémentaires.
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.text	+5 au monstre<br>À jouer pendant un combat. Si le monstre est vaincu, tirez 1 carte trésor supplémentaire.
base.door.b95cafbd-d581-43ff-a08b-39979135b256.text	Un autre monstre apparaît, du même niveau, et avec les mêmes bonus. Si les monstres sont vaincus, tirez les cartes de trésor et gagnez des niveaux pour chacun d’entre eux.
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.text	À jouer, ainsi qu’un monstre de votre main, quand quelqu’un (vous y compris) se bat. Votre monstre rejoint celui qui combat : leurs forces de combat s’additionnent. Si le ou les personnages doivent Déguerpir, résolvez séparément les tentatives, dans l’ordre choisi par les victimes.
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.text	Vous pouvez posséder et utiliser 1 objet qui vous serait normalement interdit par les règles. Posez cette carte à côté de l’objet que vous jouez de votre main ou que vous avez déjà en jeu. Si vous perdez cet objet, cette carte est défaussée avec.
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.text	Vous devez jouer cette carte immédiatement. Tous les Prêtres gagnent immédiatement 1 niveau. Si cela permet à un joueur de terminer la partie, il est autorisé à se gausser grassement et sans pitié des autres joueurs.
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.text	Jouez cette carte quand vous êtes en plein combat. Vous pouvez prendre un objet à n’importe quel autre joueur, à condition qu’il vous permette de gagner le combat alors que vous n’aviez aucune chance au moment où vous jouez la carte. Vous pouvez défausser un de vos propres objets avant de prendre celui-ci si vous le désirez.
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.text	À jouer pendant n’importe quel combat. Défaussez un monstre impliqué dans ce combat, ainsi que toutes les cartes jouées pour le modifier, et remplacez-le par une carte de monstre tirée de votre main.
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.text	À jouer pendant n’importe quel combat. Les monstres de cette pièce font la pause. Le joueur qui affronte le ou les monstres les défausse tous et tire immédiatement 2 cartes trésor.
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.badstuff	vous êtes rôti, dévoré et mort.
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.badstuff	son contact osseux vous coûte 2 niveaux.
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.badstuff	vous êtes fouetté jusqu’à ce que mort s’ensuive. Et mort s’ensuit.
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.badstuff	vous êtes saisi, englué, broyé et avalé. Vous êtes mort, mort, et re-mort. Des questions ?
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.badstuff	vous êtes piétiné et mâché. Vous perdez vos affaires en fuyant. En partant de votre droite, chaque joueur peut prendre une carte trésor posée devant vous ou dans votre main (sans regarder)
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.badstuff	perdez tous vos objets et toutes les cartes de votre main.
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.badstuff	ils vous font une vidange des fluides vitaux. Vous retombez au niveau 1.
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.badstuff	vous sou- scrivez une assurance. Défaussez pour 1000 pièces d’or d’objets. Si vous n’en avez pas autant, perdez tout ce que vous avez.
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.badstuff	Il a la dalle. Il vous mange. Vous êtes mort.
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.badstuff	si vous n’êtes pas Magicien, une mort indicible et apocalyptiquement horrible vous attend. Sinon, vous ne perdez que vos pouvoirs : défaussez votre carte de Magicien.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.badstuff	vous écrase comme une crêpe et vous grignote la tête. Perdez votre couvre-chef.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.badstuff	un baiser vraiment dégoûtant vous coûte 2 niveaux (3 pour les Elfes).
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.badstuff	il verrouille la porte et vous parle longuement de son personnage. Perdez 3 niveaux.
base.door.55e5c91e-a987-4900-abec-0f502175288a.badstuff	lancez un dé. Sur un 1 ou 2, ils vous piétinent à mort. Sinon, perdez autant de niveau qu’indiqué par le dé.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.badstuff	il vous suivra partout à l’odeur. Si vous perdez, vous ne pouvez pas Déguerpir, quoi que vous fassiez. Perdez 3 niveaux.
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.badstuff	déséquilibre complètement le jeu en vous forçant à laisser le(s) joueur(s) ayant le plus haut niveau à vous prendre (chacun) un objet.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.badstuff	on s’est fait tabasser par une nana ? Lamentez-vous amèrement sur votre fierté de macho. Perdez votre (vos) classe(s). Si vous n’avez pas de classe, perdez 3 niveaux.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.badstuff	perdez 3 niveaux.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.badstuff	votre niveau devient équivalent à celui du joueur de plus bas niveau…
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.badstuff	quand il vous arrache le visage, votre Couvre-chef part avec ! Défaussez tout Couvre- chef porté et perdez 1 niveau.
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.badstuff	confiscation des biens ! Chacun des autres joueurs prend une carte dans votre main, en commençant par le joueur à votre gauche. Défaussez les cartes restantes.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.badstuff	défaussez toute votre main ou perdez 2 niveaux.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.badstuff	jet de vomi tiède ! Défaussez toute votre main.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.badstuff	vous devenez un humain anodin et ennuyeux. Défaussez toute carte de Race ou de Classe que vous avez en jeu.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.badstuff	elles jouent vraiment comme des manches. Perdez 2 niveaux.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.badstuff	il vous prend 2 objets, choisis par chacun des deux joueurs qui vous entourent.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.badstuff	ils volent votre trésor. Le résultat d’un jet de dé indique combien d’objets ou de cartes de votre main (vous devez choisir l’un ou l’autre) vous perdez.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.badstuff	mord, rue, et sent le canasson crevé. Vous perdez 2 niveaux.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.badstuff	Mais ça mord ! Perdez 2 niveaux.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.badstuff	si vous n’arrivez pas à Déguerpir, vous lâchez tous vos Gros objets.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.badstuff	se faire picorer est très douloureux. Vous perdez 1 niveau.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.badstuff	traces de morsures sur vos fesses. Perdez 2 niveaux.
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.badstuff	défaussez votre armure et tous les objets portés sous la ceinture.
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.badstuff	défaussez les Chaussures que vous portez. Vous perdez 1 niveau si vous n’avez pas de Chaussures.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.badstuff	Il vous met un coup de béquille en traître. Vous perdez 1 niveau.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.badstuff	la créature vous passe à tabac. Perdez 1 niveau.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.badstuff	rien du tout… Si vous devez Déguerpir, vous réussissez automatiquement.
monster.thumbnail.rewardlevels	Niveaux
monster.thumbnail.treasures	Trésor
monster.badstuff	<b><i>Incident Fâcheux :</i></b>
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.name	1000 pièces d’or
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.name	Génocide de Fourmis à l’Huile Bouillante
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.name	Don de Chips Désintéressé au M
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.name	Erreur de Calcul Avantageuse
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.name	Invocation de Règles Obscures
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.name	Tuer le Fidèle Serviteur
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.name	Mutiler les Cadavres
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.name	Potion de Machisme Triomphant
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.name	Pleurer dans les Jupes du M
base.treasure.377084fc-4baa-4efa-944b-fd090892c031.name	Bandana de Gros Dur
base.treasure.eb7c59af-c029-4b93-bf65-1cca669e1d1a.name	Bottes de Convocation d'Hémorroïdes
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.name	Bottes de Déplacement Frénetique
base.treasure.a93afb4f-fc2a-489b-9f94-e5ee450af48f.name	Arc Enrubanné
base.treasure.f08f4fef-42c6-4b3e-b189-cc5dd37d00a8.name	Épée de Féminisme Exacerbé
base.treasure.57f25b88-39fc-448c-b345-bcd6f8cf18d9.name	Targe d’Inconscience Suicidaire
base.treasure.0ec11cb6-b54b-4149-907f-c5c593de9f83.name	Tronçonneuse de la Mort
base.treasure.b25c2d56-b5b7-4f69-ad18-50218663e904.name	Râpe à Fromage de la Paix
base.treasure.d2e348c6-1d45-4de2-b4ba-f1b5299594f7.name	Cape d’Ombre
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.name	Cotion de Ponfusion
base.treasure.b7b46f34-6a41-46ec-8931-df8080fc7e91.name	Dague de Traitrise
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.name	Doppelganger
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.name	Potion Acide, Radioactive et Électrique
base.treasure.8ff92ccf-abcf-4190-b405-828766f21113.name	Lance de 3,50 m
base.treasure.c6fe1a3b-7c10-4703-b4fb-497bb375389f.name	Armure de Flammes
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.name	Potion de Poison Enflammé
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.name	Flaque de Colle
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.name	Potion Glaciale Explosive
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.name	Potion d’Amitié
base.treasure.89a4bc60-e43e-4145-a2af-a82600c9c261.name	Gourdin de Misogynie Fracassante
base.treasure.24b6690b-4ac7-4ad0-b8b2-14e93e59d441.name	Marteau des Rotules Douloureuses
base.treasure.960594e9-a865-42ea-ba5a-461f8063681d.name	Casque de Courage
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.name	Casque de Virilité Ostentatoire
base.treasure.d161d2e4-ac68-4c7b-9717-0622bc3bc9cb.name	Énorme Rocher
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.name	Mur Instantané
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.name	Potion d’Invisibilité
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.name	Genouillères de Séduction
base.treasure.67b44251-96b9-431a-ac9d-f733809e7097.name	Armure de Cuir
base.treasure.4e5de80a-9f85-42e7-8cf7-9e226f499824.name	Sandwich Chocolat-Moules-Anchois
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.name	Dé Pipé
base.treasure.465e86f2-0caf-40cc-a01d-28009a2aaf4c.name	Masse d’Armes de Répartie Piquante
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.name	Lampe Merveilleuse
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.name	Missile Magique
base.treasure.e712b749-e3ea-4d07-9169-72c33baea44f.name	Armure de Mithril
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.name	Boisson Énergisante Éventée
base.treasure.a4b9df0f-71ad-4e20-9c61-cc2e6822d44d.name	Collants de Force de Géant
base.treasure.e0b9571f-352f-4728-b29c-eee1d4870e7b.name	Chapeau Pointu de Thaumaturgie
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.name	Potion de Polly-morphie
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.name	Potion de Mauvaise Haleine
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.name	Potion de bravoure hystérique
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.name	Oh, les Jolis Ballons !
base.treasure.f8f3606d-0532-46bf-aeba-060b370ca22a.name	Rapière d’Injustice Flagrante
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.name	Brochette de Rat
base.treasure.4a44eff7-1d4d-43bc-8994-9d9e0533cfaf.name	Titre qui en Jette Vraiment Grave
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.name	Sandales de Protection
base.treasure.40c01965-1169-4e05-a1c1-fc8719bb36bf.name	Bouclier Surdimensionné
base.treasure.91af4f9b-1ab3-4e6d-a606-ee73d9511354.name	Armure Trapue
base.treasure.a7cfecc2-8f03-469c-86d1-eca7abd48563.name	Épée Karaok
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.name	Potion de Sommeil
base.treasure.e40ee953-081e-4b41-b095-0ca9ad681d8a.name	Armure Gluante
base.treasure.f1a6aaf7-47ca-4952-b46b-b2e9bd5ae27a.name	Épée (de) Bâtard(e)
base.treasure.61bb425e-f07a-4db1-87cc-2fc4b8802c51.name	Genouillères Perforantes
base.treasure.9cc482d6-25ea-4502-bb10-12ed4deff95e.name	Bâton de Napalm
base.treasure.af9daf73-1d23-4ac1-b3c2-88bc10587054.name	Escabeau
base.treasure.70b796bf-98e7-401d-b36f-e71399a3c403.name	Hallebarde Suisse Multifonctions
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.name	Potion de Transfert
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.name	Tuba d’Envoûtement
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.name	Baguette de Sourcier
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.name	Anneau de Souhait
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.name	Champagne
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.name	Fidèle Serviteur
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.name	Pillaaaaaaage !
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.name	Vol de Niveau
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.text	Gagnez un niveau
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.text	Gagnez un niveau
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.text	Gagnez un niveau
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.text	Gagnez un niveau
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.text	Gagnez un niveau
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.text	Gagnez un niveau<br>Vous ne pouvez utiliser cette carte que si le Fidèle Serviteur est en jeu (quel que soit son possesseur). Le Fidèle Serviteur est défaussé.
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.text	Gagnez un niveau<br>Cette carte ne peut être jouée qu’après un combat, mais pas obligatoirement un combat que vous avez livré.
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.text	Gagnez un niveau
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.text	Gagnez un niveau<br>Vous ne pouvez pas utiliser cette carte si vous êtes le joueur de plus haut niveau, ou ex-aequo avec celui-ci.
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.text	Confèrent un bonus de +2 pour Déguerpir.
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.text	À jouer pendant n’importe quel combat. Bonus de +3 accordé à un camp au choix. Usage unique.
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.text	Crée votre double, qui combat à vos côtés : votre force de combat est doublée. Vous ne pouvez utiliser le Doppelganger que si vous êtes le seul joueur à participer au combat. Usage unique.
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.text	À jouer pendant n’importe quel combat. Bonus de +5 accordé à un camp au choix. Usage unique.
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.text	À jouer pendant n’importe quel combat. Bonus de +3 accordé à un camp au choix. Usage unique.
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.text	À utiliser quand quelqu’un réussit à fuir le combat pour quelque raison que ce soit. La victime doit relancer les dés pour Déguerpir (même s’il s’agissait d’une réussite automatique la première fois). Usage unique.
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.text	À jouer pendant n’importe quel combat. Bonus de +3 accordé à un camp au choix. Usage unique.
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.text	À jouer pendant n’importe quel combat. Défaussez tous les monstres combattus. Aucun trésor n’est gagné, mais vous pouvez piller la pièce Usage unique.
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.text	(+3 pour les Elfes)
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.text	Permet à un ou deux personnages de fuir automatiquement n’importe quel combat. Usage unique.
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.text	À défausser après avoir raté votre jet pour Déguerpir. Vous vous enfuyez automatiquement. Usage unique.
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.text	Si vous demandez à quelqu’un d’un niveau supérieur au votre de vous aider à combattre un monstre, il ne peut ni refuser, ni exiger de paiement en retour. Vous ne pouvez pas gagner en montant de niveau dans un combat dans lequel vous avez été aidé grâce à vos Genouillères.
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.text	À jouer après n’importe quel jet de dé. Vous choisissez vous-même le résultat du jet de dé. Usage unique.
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.text	Vous ne pouvez utiliser la Lampe qu’à votre tour. Elle invoque un génie qui fait disparaître un seul monstre, même s’il était sur le point de vous attraper après un jet de Déguerpir raté. S’il était seul contre vous, vous prenez son trésor mais sans gagner de niveau. Usage unique.
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.text	À jouer pendant n’importe quel combat. Bonus de +5 accordé à un camp au choix. Usage unique.
