#_	_
button.back	Wstecz
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.badstuff	
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.badstuff	
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.badstuff	
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.badstuff	
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.badstuff	
monster.thumbnail.rewardlevels	
monster.thumbnail.treasures	
monster.badstuff	
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.name	
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.name	
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.name	
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.name	
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.name	
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.name	
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.name	
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.name	
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.name	
base.treasure.377084fc-4baa-4efa-944b-fd090892c031.name	
base.treasure.eb7c59af-c029-4b93-bf65-1cca669e1d1a.name	
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.name	
base.treasure.a93afb4f-fc2a-489b-9f94-e5ee450af48f.name	
base.treasure.f08f4fef-42c6-4b3e-b189-cc5dd37d00a8.name	
base.treasure.57f25b88-39fc-448c-b345-bcd6f8cf18d9.name	
base.treasure.0ec11cb6-b54b-4149-907f-c5c593de9f83.name	
base.treasure.b25c2d56-b5b7-4f69-ad18-50218663e904.name	
base.treasure.d2e348c6-1d45-4de2-b4ba-f1b5299594f7.name	
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.name	
base.treasure.b7b46f34-6a41-46ec-8931-df8080fc7e91.name	
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.name	
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.name	
base.treasure.8ff92ccf-abcf-4190-b405-828766f21113.name	
base.treasure.c6fe1a3b-7c10-4703-b4fb-497bb375389f.name	
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.name	
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.name	
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.name	
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.name	
base.treasure.89a4bc60-e43e-4145-a2af-a82600c9c261.name	
base.treasure.24b6690b-4ac7-4ad0-b8b2-14e93e59d441.name	
base.treasure.960594e9-a865-42ea-ba5a-461f8063681d.name	
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.name	
base.treasure.d161d2e4-ac68-4c7b-9717-0622bc3bc9cb.name	
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.name	
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.name	
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.name	
base.treasure.67b44251-96b9-431a-ac9d-f733809e7097.name	
base.treasure.4e5de80a-9f85-42e7-8cf7-9e226f499824.name	
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.name	
base.treasure.465e86f2-0caf-40cc-a01d-28009a2aaf4c.name	
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.name	
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.name	
base.treasure.e712b749-e3ea-4d07-9169-72c33baea44f.name	
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.name	
base.treasure.a4b9df0f-71ad-4e20-9c61-cc2e6822d44d.name	
base.treasure.e0b9571f-352f-4728-b29c-eee1d4870e7b.name	
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.name	
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.name	
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.name	
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.name	
base.treasure.f8f3606d-0532-46bf-aeba-060b370ca22a.name	
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.name	
base.treasure.4a44eff7-1d4d-43bc-8994-9d9e0533cfaf.name	
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.name	
base.treasure.40c01965-1169-4e05-a1c1-fc8719bb36bf.name	
base.treasure.91af4f9b-1ab3-4e6d-a606-ee73d9511354.name	
base.treasure.a7cfecc2-8f03-469c-86d1-eca7abd48563.name	
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.name	
base.treasure.e40ee953-081e-4b41-b095-0ca9ad681d8a.name	
base.treasure.f1a6aaf7-47ca-4952-b46b-b2e9bd5ae27a.name	
base.treasure.61bb425e-f07a-4db1-87cc-2fc4b8802c51.name	
base.treasure.9cc482d6-25ea-4502-bb10-12ed4deff95e.name	
base.treasure.af9daf73-1d23-4ac1-b3c2-88bc10587054.name	
base.treasure.70b796bf-98e7-401d-b36f-e71399a3c403.name	
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.name	
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.name	
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.name	
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.name	
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.name	
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.name	
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.name	
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.name	
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.text	
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.text	
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.text	
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.text	
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.text	
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.text	
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.text	
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.text	
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.text	
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.text	
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.text	
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.text	
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.text	
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.text	
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.text	
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.text	
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.text	
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.text	
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.text	
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.text	
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.text	
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.text	
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.text	
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.text	
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.text	
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.text	
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.text	
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.text	
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.text	
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.text	
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.text	
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.text	
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.text	
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.text	
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.text	
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.text	
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.text	
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.text	
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.text	
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.text	
kin.item.requirements.class.cleric	
kin.item.requirements.class.thief	
kin.item.requirements.class.warrior	
kin.item.requirements.class.wizard	
kin.item.requirements.race.human	
kin.item.requirements.race.dwarf	
kin.item.requirements.race.elf	
kin.item.requirements.race.halfling	
kin.item.requirements.gender.male	
kin.item.requirements.gender.female	
kin.item.requirements.notclass.cleric	
kin.item.requirements.notclass.thief	
kin.item.requirements.notclass.warrior	
kin.item.requirements.notclass.wizard	
kin.item.requirements.notrace.human	
kin.item.requirements.notrace.dwarf	
kin.item.requirements.notrace.elf	
kin.item.requirements.notrace.halfling	
rules.askingforhelp.1	
rules.askingforhelp.2	
rules.askingforhelp.3	
rules.askingforhelp.4	
rules.characterstats.1	
rules.characterstats.2	
rules.characterstats.3	
rules.characterstats.4	
rules.death.1	
rules.death.2	
rules.monsters.1	
rules.monsters.2	
rules.monsters.3	
rules.monsters.4	
rules.monsters.5	
rules.monsters.6	
rules.monsters.7	
rules.monsters.8	
rules.overview.1	
rules.overview.2	
rules.overview.3	
rules.overview.4	
rules.overview.5	
rules.overview.6	
rules.overview.7	
rules.overview.8	
rules.overview.9	
rules.overview.10	
rules.overview.11	
rules.overview.12	
rules.overview.13	
rules.treasures.1	
rules.treasures.2	
rules.treasures.3	
rules.treasures.4	
rules.treasures.5	
rules.treasures.6	
rules.treasures.7	
rules.treasures.8	
rules.variants.1	
rules.variants.2	
rules.variants.3	
rules.variants.4	
rules.variants.7	
rules.variants.8	
rules.combatoverview.1	
rules.combatoverview.2	
rules.combatoverview.3	
rules.combatoverview.4	
rules.curses.1	
rules.curses.2	
kin.setup.character.raceandclass	
kin.setup.character.raceandclass.opponent	
kin.setup.character.items	
kin.setup.character.items.opponent	
kin.setup.character.opponent	
kin.jumpin	
kin.jumpin.door	
kin.jumpin.attack	
kin.jumpin.beginpursuit	
kin.jumpin.endofturn	
kin.jumpin.endofturn.opponent	
kin.jumpin.runaway	
kin.jumpin.postrunaway	
kin.jumpin.postcombat	
kin.jumpin.precurse	
kin.jumpin.abilities	
kin.playerturn.begin	
kin.playerturn.begin.opponent	
kin.playerturn.lookfortrouble	
kin.playerturn.draw	
kin.playerturn.lookorloot	
kin.playerturn.end	
kin.playerturn.end.opponent	
kin.core.play.class	
kin.core.play.curse	
kin.core.play.item	
kin.core.play.race	
kin.core.play.special	
kin.core.play.monsterenhancer	
kin.core.play.combatoneshot	
kin.playerturn.charity.lastchance	
kin.playerturn.charity.discard	
kin.playerturn.charity.give	
kin.playerturn.charity.giveplayer	
kin.draw.play	
match.actions.opendoor	
match.actions.jumpin	
kin.combat.begin	
kin.combat.begin.opponent	
match.actions.lootroom	
match.actions.lookfortrouble	
kin.prompts.givelevelup	
kin.core.play.goupalevel	
kin.base.door.cleric.turning	
kin.base.door.cleric.resurrection.discard	
kin.base.door.floatingnose.bribe	
kin.base.door.halfling.runaway	
kin.base.door.helpmeout.discard	
kin.base.door.helpmeout.steal	
kin.base.door.helpmeout.steal.opponent	
kin.base.door.illusion.remove	
kin.base.door.illusion.add	
kin.base.door.lawyer.treasures	
kin.base.door.pitbull.distract	
kin.base.door.platycore.choose	
kin.base.door.platycore.button.discardhand	
kin.base.door.platycore.button.loselevels	
kin.base.door.snailsonspeed.discard	
kin.base.door.stonedgolem.avoid	
kin.base.door.thief.theft.discard	
kin.base.door.thief.theft.steal	
kin.base.door.thief.backstab.discard	
kin.base.door.thief.backstab.player	
kin.base.door.tonguedemon.loseitem	
kin.base.door.tonguedemon.loseitem.opponent	
kin.base.door.wanderingmonster.monster	
kin.base.door.warrior.berserking.discard	
kin.base.door.wizard.charm.monster	
kin.base.door.wizard.flight.discard	
kin.base.door.curse.losebigitem.discard	
kin.base.door.curse.losebigitem.discard.opponent	
kin.base.door.curse.loseclass.discard	
kin.base.door.curse.loseclass.discard.opponent	
kin.base.door.curse.losesmallitem.discard	
kin.base.door.curse.losesmallitem.discard.opponent	
kin.base.door.curse.obnoxious.discard	
kin.base.door.curse.obnoxious.discard.opponent	
kin.base.door.supermunchkin.play	
kin.base.door.halfbreed.play	
kin.base.door.hippogriff.steal	
kin.base.door.hippogriff.steal.opponent	
kin.base.door.curse.incometax.select	
kin.base.door.curse.incometax.tax	
kin.base.door.curse.incometax.tax.opponent	
kin.base.door.insurancesalesman.buy	
kin.base.door.insurancesalesman.buy.opponent	
kin.base.door.divineintervention.jumpin.cleric	
kin.base.door.divineintervention.jumpin.cleric.opponent	
kin.base.treasure.item.ratonastick.discard	
kin.base.treasure.item.flaskofglue	
kin.base.treasure.hireling.monster	
kin.base.treasure.play.halitosis	
kin.base.treasure.kneepadsofallure.compelled	
kin.base.lootthebody	
kin.base.lootthebody.opponent	
kin.combat.askforhelp.players	
kin.combat.askforhelp.bribe.type	
kin.askforhelp.choosehowtreasure	
kin.askforhelp.chooserandomtreasurecount	
kin.askforhelp.choosewhopickstreasure	
kin.askforhelp.choosecardsoffer	
kin.askforhelp.bribeoffer	
kin.askforhelp.sharetreasure	
kin.askforhelp.givecards	
kin.askforhelp.none	
kin.askforhelp.random	
kin.askforhelp.draft	
kin.askforhelp.ntreasure	
kin.askforhelp.onetreasure	
kin.askforhelp.twotreasure	
kin.askforhelp.threetreasure	
kin.askforhelp.pickn	
kin.askforhelp.pickone	
kin.askforhelp.picktwo	
kin.askforhelp.pickthree	
kin.askforhelp.draft.you	
kin.askforhelp.draft.them	
kin.core.sellitems	
kin.core.sellitems.opponent	
kin.nocards	
kin.pile.race	
kin.pile.class	
kin.pile.carried	
kin.pile.equipped	
kin.pile.useonparticipant	
kin.pile.useonmonster	
kin.pile.enhancemonster	
kin.runaway.activateability.preroll	
kin.runaway.activateability.postroll	
kin.core.play.item.swap	
kin.core.play.class.replace	
kin.core.play.race.replace	
kin.core.play.magiclamp	
kin.core.play.wishingring	
kin.prompts.activatecurseonplayer	
kin.confirm.discard.class	
kin.confirm.discard.race	
kin.die.preroll	
kin.die.header	
kin.die.postroll	
kin.choosebadstuff.discard	
kin.choosebadstuff.losetwolevels	
kin.waitingforplayer.selectavatar	
kin.core.play.wandofdousing.pickcard	
kin.base.door.cheat.item	
kin.jumpin.door.active	
kin.jumpin.attack.active	
kin.jumpin.beginpursuit.active	
kin.jumpin.runaway.active	
kin.jumpin.postrunaway.active	
kin.jumpin.postrunaway.opponent	
kin.jumpin.postcombat.active	
kin.jumpin.precurse.active	
kin.core.play.undead	
kin.prompt.askforhelp.draft.header	
kin.askforhelp.draft.yourpick	
kin.askforhelp.draft.opponentpick	
kin.core.play.monsterenhancer.selectmonster	
kin.prompt.swapitem.message	
kin.base.door.leperchaun.discard	
kin.base.door.leperchaun.discard.opponent	
kin.runaway.choose.monster	
kin.runaway.choose.monster.opponent	
kin.setup.character.raceclass	
kin.setup.character.raceclass.opponent	
kin.setup.character.item	
kin.setup.character.item.opponent	
kin.core.play.pollymorph	
kin.core.play.killhireling	
kin.combat.askforhelp.player.helper	
kin.combat.askforhelp.player.helper.opponent	
kin.combat.askforhelp.response	
kin.combat.askforhelp.response.subheader	
kin.bribes.none	
kin.askforhelp.receivecards	
kin.thief.roll	
kin.discardpile.treasure.header	
kin.discardpile.door.header	
kin.discardpile.choose.header	
kin.combat.rewards.pre.draw	
kin.modifyroll.subheader	
kin.discardpile.view.header	
kin.badstuff.roll	
dialogmessages.aitakeover	
kin.base.door.hireling.item	
kin.base.door.hireling.item.swap	
kin.jumpin.postroll	
kin.modifyroll.header	
kin.askforhelp.draftrequest	
kin.combat.askforhelp.waiting	
prompt.charity.header	
kin.modifyroll.minimumrequired	
kin.reconcile.lastchance	
kin.reconcile.lastchance.sell	
kin.reconcile.charity.discard	
kin.reconcile.charity.discard.opponent	
kin.reconcile.charity.give	
kin.reconcile.charity.give.opponent	
kin.reconcile.charity.giveplayer	
kin.resurrection.header	
kin.core.play.race.replace.alt	
kin.core.play.class.replace.alt	
kin.jumpin.precurse.opponent	
kin.jumpin.abilities.opponent	
kin.playerturn.charity.discard.opponent	
kin.playerturn.lookorloot.opponent	
kin.base.door.cleric.resurrection.discard.opponent	
kin.combat.rewards.pre.draw.opponent	
kin.draw.play.opponent	
kin.prompt.swapclass.message	
kin.prompt.swaprace.message	
kin.core.play.stealalevel	
kin.thief.roll.loadeddie	
kin.combat.askforhelp.response.opponent	
kin.trade.item.accept.opponent	
kin.jumpin.confirm.opponent	
kin.jumpin.stack.opponent	
kin.jumpin.opponent	
kin.jumpin.door.opponent	
kin.jumpin.attack.opponent	
kin.jumpin.beginpursuit.opponent	
kin.jumpin.runaway.opponent	
kin.jumpin.postcombat.opponent	
kin.base.door.curse.incometax.select.opponent	
kin.playerturn.draw.opponent	
kin.combat.rewards.draft.pick.opponent	
kin.base.door.nettroll.steal.opponent	
kin.player.changegear.opponent	
kin.playerturn.charity.lastchance.opponent	
kin.playerturn.charity.give.opponent	
kin.playerturn.charity.giveplayer.opponent	
kin.jumpin.postroll.opponent	
kin.reconcile.lastchance.opponent	
kin.reconcile.charity.giveplayer.opponent	
kin.base.door.snailsonspeed.discard.opponent	
kin.base.door.platycore.choose.opponent	
kin.combat.askforhelp.bribe.selections.opponent	
kin.combat.askforhelp.players.opponent	
kin.combat.askforhelp.bribe.type.opponent	
kin.runawaysuccess.ability	
kin.runaway.badstuff	
kin.runawaysuccess.ability.opponent	
kin.runaway.badstuff.opponent	
kin.runaway.rolltarget	
kin.base.door.nettroll.steal	
kin.tooltip.1	
kin.tooltip.gender.male	
kin.tooltip.gender.female	
kin.tooltip.editcharacter	
kin.tooltip.genderneutral	
kin.tooltip.fastplay	
kin.tooltip.sharedvictory	
kin.tooltip.playerhud.strength	
kin.tooltip.race.human	
kin.tooltip.race.dwarf	
kin.tooltip.race.elf	
kin.tooltip.race.halfling	
kin.tooltip.class.none	
kin.tooltip.class.cleric	
kin.tooltip.class.thief	
kin.tooltip.class.warrior	
kin.tooltip.class.wizard	
kin.tooltip.slowplay	
kin.tooltip.inventory	
kin.tooltip.askforhelp	
kin.tooltip.monsterstrength	
kin.tooltip.playerstrength	
kin.tooltip.loottheroom	
kin.tooltip.lookfortrouble	
kin.tooltip.aimood.neutral	
kin.tooltip.aimood.hostile	
kin.tooltip.aimood.veryhostile	
kin.tooltip.aimood.friendly	
kin.tooltip.aimood.veryfriendly	
kin.tooltip.ability.halfling	
kin.tooltip.ability.resurrection	
kin.tooltip.ability.turning	
kin.tooltip.ability.backstabbing	
kin.tooltip.ability.theft	
kin.tooltip.ability.berserking	
kin.tooltip.ability.flight	
kin.tooltip.ability.charm	
kin.tooltip.cardsinhand	
tooltip.actionlog	<b>Dziennik akcji</b>
tooltip.challengeinfo	<b>Zasady Wyzwania</b>
kin.tooltip.eotjumpinwindow	
kin.tooltip.discardpiles	
tooltip.friendslist.owned	
tooltip.friendslist.unowned	
kin.tooltip.ability.hireling1	
kin.tooltip.ability.hireling2	
kin.tooltip.heldbyhireling	
kin.tooltip.playedusingcheat	
log.actionlog	Dziennik akcji
log.start.game	Początek gry
log.turn.start	
log.turn.start.your	
log.kick.door.result	
log.look.for.trouble	
log.loot.room	
log.cursed.door	
log.combat.start	
log.ask.help	
log.accept.help	
log.win.combat	
log.win.combat.with.help	
log.lose.combat	
log.lose.combat.with.help	
log.discard.monster	
log.play.card.generic	
log.monster.enhancer.bonus.strength	
log.monster.enhancer.add.treasure	
log.monster.enhancer.lose.treasure	
log.play.card.carried	
log.play.card.equipped	
log.levelup	
log.lose.levels	
log.draw	
log.face.up.draw	
log.draw.doors	
log.draw.treasures	
log.shuffle.deck	
log.die.roll	
log.run.away.success	
log.run.away.fail	
log.charity.give	
log.trade.items	
log.sell.items	
log.badstuff.death.1	
log.badstuff.death.2	
log.badstuff.death.3	
log.badstuff.hippogriff.infront	
log.badstuff.hippogriff.fromhand	
log.badstuff.king.tut	
log.badstuff.wight.brothers	
log.badstuff.unspeakable.horror	
log.badstuff.insurance.salesman	
log.badstuff.bigfoot	
log.tongue.demon.kiss	
log.wannabe.vampire.oogabooga	
log.badstuff.net.troll	
log.amazon.friend	
log.badstuff.amazon.class	
log.badstuff.amazon.noclass	
log.badstuff.ghoulfiends	
log.badstuff.face.sucker.gear	
log.lawyer.thief.courtesy	
log.badstuff.lawyer	
log.badstuff.platycore.discard	
log.badstuff.platycore.lose2	
log.badstuff.pukachu	
log.badstuff.shrieking.geek	
log.badstuff.leperchaun	
log.badstuff.snails.on.speed	
log.badstuff.gelatinous.octahedron	
log.pit.bull.give.stick	
log.badstuff.crabs	
log.badstuff.drooling.slime.gear	
log.badstuff.drooling.slime.nogear	
log.curse.effect.change.class	
log.curse.effect.lose class	
log.curse.effect.change.race	
log.curse.effect.lose.race	
log.curse.effect.change.sex	
log.curse.effect.chicken.head	
log.curse.remove.chicken.head	
log.curse.effect.doom.duck	
log.curse.effect.income.tax.1	
log.curse.effect.income.tax.2	
log.curse.effect.lose.big	
log.curse.effect.lose.level	
log.curse.effect.lose.small	
log.curse.effect.lose.armor	
log.curse.effect.lose.headgear	
log.curse.effect.lose.footgear	
log.curse.effect.lose.2.cards	
log.curse.effect.malign.mirror	
log.curse.effect.obnoxious.curse	
log.cleric.resurrect.draw	
log.cleric.resurrect.discard	
log.cleric.turning	
log.thief.backstab	
log.thief.theft.success	
log.thief.theft.fail	
log.warrior.berserking	
log.wizard.flight.spell	
log.wizard.charm.spell	
log.elf.helper	
log.halfling.double.sell	
log.halfling.luck	
log.sandals.protect	
log.update.race	
log.update.class	
log.update.sex	
log.wandering.monster	
log.automatic.escape	
log.badstuff.loseitems	
log.cheat.used	
log.divine.intervention	
log.doppelganger	
log.flask.of.glue	
log.halitosis.vs.nose	
log.help.me.out.here.steal	
log.hireling.equip	
log.hireling.killed	
log.hireling.sacrifice	
log.illusion	
log.kneepads.compel	
log.loaded.die	
log.monster.enhancer.lose.strength	
log.monster.enhancer.mate	
log.one.shot.bonus.monsters	
log.one.shot.bonus.players	
log.rat.stick.discard	
log.steal.level	
log.tuba.bonus.treasure	
log.undead.pile.on	
log.wand.of.dowsing	
log.wishing.ring	
log.trade.items.one.sided	
log.discard.generic	
log.no.combat.generic	
log.help.reward.random	
log.help.reward.draft	
log.help.reward.cards	
t1.intro	
t1.goal	
t1.char.build	
t1.moz.1.mobile	
t1.moz.1.pc	
t1.play.items	
t1.play.items.2	
t1.total.strength	
t1.play.items2	
t1.end.char.creation	
t1.turn1	
t1.harpies	
t1.tie.v1	
t1.class.v1	
t1.tie.v2	
t1.end.player.combat.phase	
t1.gary.ponfusion	
t1.easy	
t1.gary.potion	
t1.jump.in	
t1.oneshot.v1	
t1.oneshot.v2	
t1.rewards	
t1.charity.warning	
t1.sell	
t1.pass	
t1.op1.chainsaw	
t1.op1.jump.in	
t1.op1.gary.annoyed	
t1.op1.retort	
t1.op1.gary.sulk	
t1.op1.end.jump.in	
t1.kick	
t1.curse	
t1.curse.2	
t1.trouble	
t1.trouble.2	
t1.gary.comment	
t1.help	
t1.help.3	
t1.offer.2	
t1.offer.3	
t1.op2.fight	
t1.op2.enrage	
t1.op2.gary.grumble	
t1.op2.gary.loss	
t1.trade	
t1.trade.2	
t1.trade.4	
t1.op3.horror	
t1.op3.death	
t1.op3.death.2	
t1.op3.tutorial.end	
t1.op3.tutorial.end2	
t1.op3.tutorial.end3	
t1.play.items3.demo	
t1.charity.warning.demo	
t1.sell.demo	
t1.pass.demo	
t1.crabs.demo	
kin.tutorial.leave	
kin.tutorial.finish	
t1.op3.tutorial.end1	
t2.set.1	
t2.set.2	
t2.turn1.1	
t2.turn1.2	
t2.turn1.3	
t2.turn1.4	
t2.turn1.5	
t2.turn1.7	
t2.turn1.8	
t2.turn1.9	
t2.turn1.enemy.1	
t2.turn1.enemy.2	
t2.turn1.enemy.3	
t2.turn1.enemy.4	
t2.turn1.enemy.5	
t2.turn1.enemy.6	
t2.turn1.enemy.7	
t2.turn1.enemy.8	
t2.turn1.triggered.1	
t2.turn1.triggered.2	
t2.turn1.triggered.3	
ftt.undead	
ftt.multi.monster	
t1.curse.3	
tutorial.prompt.complete.header	
tutorial.prompt.complete.body	
tutorial.title.tutorial01	
tutorial.description.tutorial01	
tutorial.title.tutorial02	
tutorial.description.tutorial02	
tutorial.cardanatomy.title	
tutorial.cardanatomy.geartype	
tutorial.cardanatomy.goldcost	
tutorial.cardanatomy.cardtype	
eula.acceptterms	Zgadzam się
eula.requestupdates	Chcę otrzymywać aktualności
eula.title	Użytkownika Końcowego Odpowiednią
