#_	_
button.back	Atrás
base.door.3427143b-61fc-4317-a299-6c5333462a70.text	<b>Conjuro de Volar:</b> Tras tirar el dado para Huir, puedes descartarte de hasta 3 cartas; cada una te da un Bonus de +1 para Huir.<br><b>Conjuro de Hechizar:</b> Puedes descartarte de toda tu mano (mínimo 3 cartas) para hechizar a un monstruo, en vez de luchar con él. Descartas al monstruo y coges su Tesoro, pero no subes de Nivel. Si hay otros monstruos involucrados en el combate, debes luchar contra ellos normalmente.
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.text	Puedes tener 2 cartas de Clase, obteniendo todas las ventajas y desventajas de ambas. O puedes tener una carta de Clase, obteniendo todas sus ventajas pero ninguna de sus desventajas (por ejemplo, los monstruos que odian a los Clérigos no tendrán ningún Bonus contra un Super Clérigo). Si te quedas sin ninguna carta de Clase, pierdes esta carta.
base.door.26a21bc0-e8c9-49df-b088-67d1232fb7b6.text	Puedes tener 2 cartas de Clase, obteniendo todas las ventajas y desventajas de ambas. O puedes tener una carta de Clase, obteniendo todas sus ventajas pero ninguna de sus desventajas (por ejemplo, los monstruos que odian a los Clérigos no tendrán ningún Bonus contra un Super Clérigo). Si te quedas sin ninguna carta de Clase, pierdes esta carta.
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.text	Puede llevar tantos objetos Grandes como quieras.<br>Puedes tener 6 cartas en la mano.
base.door.11906a8f-4622-47bd-91ba-a6f5bedb0e5d.text	Puede llevar tantos objetos Grandes como quieras.<br>Puedes tener 6 cartas en la mano.
base.door.2faaf8ea-2915-42dc-a71a-91f7ef6c2b9f.text	Puede llevar tantos objetos Grandes como quieras.<br>Puedes tener 6 cartas en la mano.
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.text	+1 a Huir.<br>Subes 1 Nivel cada vez que ayudes a alguien a matar a un monstruo.
base.door.df82e0d2-07a4-47aa-b6cb-0a0281a2f2cc.text	+1 a Huir.<br>Subes 1 Nivel cada vez que ayudes a alguien a matar a un monstruo.
base.door.3b6f7658-e53f-4713-b447-16785e3eb036.text	+1 a Huir.<br>Subes 1 Nivel cada vez que ayudes a alguien a matar a un monstruo.
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.text	Cada turno, puedes vender un objeto por el doble de su precio (los demás objetos conservan su precio normal).<br>Si fracasas en tu tirada de Huir inicial, puedes descartarte de una carta para intentarlo una vez más.
base.door.97567e5e-96cf-4ddb-9112-2fce279a0138.text	Cada turno, puedes vender un objeto por el doble de su precio (los demás objetos conservan su precio normal).<br>Si fracasas en tu tirada de Huir inicial, puedes descartarte de una carta para intentarlo una vez más.
base.door.6e83b590-71df-48b3-acdc-481e1a2be7fe.text	Cada turno, puedes vender un objeto por el doble de su precio (los demás objetos conservan su precio normal).<br>Si fracasas en tu tirada de Huir inicial, puedes descartarte de una carta para intentarlo una vez más.
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.text	Puedes tener 2 cartas de Raza, obteniendo todas las ventajas y desventajas de ambas. O puedes tener una carta de Raza, obteniendo todas sus ventajas pero ninguna de sus desventajas (por ejemplo, los monstruos que odian a los Elfos no tendrán ningún Bonus contra un Semielfo). Descártate de esta carta si pierdes tu carta (o cartas) de Raza. Si te quedas sin ninguna carta de Raza, pierdes esta carta.
base.door.bf201553-be7c-4479-a7a0-9cc417588198.text	Puedes tener 2 cartas de Raza, obteniendo todas las ventajas y desventajas de ambas. O puedes tener una carta de Raza, obteniendo todas sus ventajas pero ninguna de sus desventajas (por ejemplo, los monstruos que odian a los Elfos no tendrán ningún Bonus contra un Semielfo). Descártate de esta carta si pierdes tu carta (o cartas) de Raza. Si te quedas sin ninguna carta de Raza, pierdes esta carta.
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.text	
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.text	
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.text	
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.text	
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.text	
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.text	Tu Nivel no se cuenta. ¡Lucha contra él únicamente con tus Bonus!
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.text	Puedes elegir si luchar contra el Golem, o pasar frente a él y decirle adiós con la mano, dejándole quedarse con todo su tesoro. Excepción: Los Medianos parecen sabrosos y están obligados a luchar.
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.text	+4 contra Guerreros.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.text	+3 contra Enanos y Medianos.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.text	Una criatura del Infierno.+4 contra Clérigos. Debes descartarte de un objeto (a tu elección) antes del combate.
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.text	En vez de luchar contra él, los Clérigos pueden hacer Huir al Aspirante a Vampiro diciendo “¡Buuuh! ¡Buuuh!” y llevarse todo su Tesoro; hacer esto no sube el Nivel de los Clérigos.
base.door.55e5c91e-a987-4900-abec-0f502175288a.text	+6 contra Enanos, debido a viejas disputas raciales.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.text	Si no quieres luchar contra la Nariz Voladora, puedes sobornarla con un objeto que valga al menos 200 Piezas de Oro, y te dejará marchar.
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.text	No tiene poderes especiales, y eso le cabrea mucho.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.text	No atacará a jugadoras femeninas o a hombres que hayan cambiado de sexo; en vez de eso, les da 1 Tesoro.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.text	Nadie puede ayudarte. Debes enfrentarte al Cenador Salvaje tú solo.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.text	Contra ellas no sirve ningún objeto o Bonus; lucha sólo con tu Nivel de personaje.
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.text	¡Es asqueroso! +6 contra Elfos.
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.text	No atacarán a un Ladrón (por cortesía profesional). Un Ladrón que se encuentre con un abogado puede descartarse de 2 tesoros y sacar dos nuevos boca abajo.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.text	Resiste la magia. +6 contra Magos.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.text	Sube un Nivel adicional si lo derrotas sin pedir ayuda ni usar Bonus.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.text	+6 contra Guerreros.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.text	Resisten la magia. +5 contra Magos.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.text	¡Es asqueroso! +5 contra Elfos.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.text	-2 a Huir.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.text	+5 contra Enanos.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.text	-1 a Huir.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.text	+1 a Huir.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.text	El pollo frito es delicioso. Sube 1 Nivel adicional instantáneamente si lo derrotas con fuego o llamas.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.text	Si no puedes derrotarlo, puedes distraerlo (Huida automática) arrojándole cualquier varita, lanza o báculo (¡Busca, Boby, busca!)
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.text	¡No se puede Huir de ellas!
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.text	Un bicho realmente asqueroso. +4 contra Elfos.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.text	+1 a Huir.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.text	Una criatura del Infierno. +3 contra Clérigos.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.text	Los Elfos ganan 1 Tesoro adicional cuando la derrotan.
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.text	+10 al Monstruo<br>Jugar durante el combate. Si el monstruo es derrotado, coge 2 Tesoro adicional.
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.text	-5 al Monstruo<br>Jugar durante el combate. Si el monstruo es derrotado, coge 1 Tesoro menos (mínimo de 1).
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.text	+5 al Monstruo<br>Jugar durante el combate. Si el monstruo es derrotado, coge 1 Tesoro adicional.
base.door.45814a37-7d87-4333-8e69-3068628f2474.text	+10 al Monstruo<br>Jugar durante el combate. Si el monstruo es derrotado, coge 2 Tesoro adicional.
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.text	+5 al Monstruo<br>Jugar durante el combate. Si el monstruo es derrotado, coge 1 Tesoro adicional.
base.door.b95cafbd-d581-43ff-a08b-39979135b256.text	Aparece otro monstruo, del mismo Nivel y con las mismas mejoras de monstruo. Si los monstruos son derrotados, coge el tesoro de ambos y sube niveles por cada uno de ellos.
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.text	Juega esta carta, junto con un monstruo de tu mano, cuando alguien (incluido tú) esté involucrado en un combate. Tu monstruo se une al que ya está luchando, así que se suman sus fuerzas de combate. Si el personaje (o personajes) intenta escapar, debes tirar los intentos de Huir por separado, en el orden que elija la víctima.
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.text	Juega esta carta junto con una carta de Objeto que tengas en juego, o cuando juegues una carta de Objeto desde tu mano. Puedes usar este objeto incluso si las reglas no te dejarían usarlo normalmente. Descártala cuando pierdas el objeto en cuestión.
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.text	Debes jugar esta carta en cuanto la recibas. Todos los Clérigos suben 1 Nivel inmediatamente. Se puede ganar el juego con esta subida. Si con esto se termina el juego, el jugador que haya ganado puede reírse sin piedad del resto de jugadores.
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.text	Juega esta carta cuando estés involucrado en un combate. Coge un objeto de otro jugador. En el momento en el que lo coges, ese objeto debe significar la diferencia entre la victoria o la derrota en ese combate. Si quieres, puedes descartarte de algo tuyo antes de coger el objeto.
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.text	Juega esta carta durante cualquier combate. Descarta uno de los monstruos involucrados en este combate, junto con cualquier carta que se haya jugado para modificarlo, y reemplázalo por un monstruo de tu mano.
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.text	El monstruo de esta habitación está en su pausa para comer. Juega esta carta durante cualquier combate. El jugador (o jugadores) que se enfrentan al monstruo (o monstruos) lo descarta y saca 2 Tesoros inmediatamente.
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.badstuff	Te tuesta, te almuerza y te mata. Estas muerto.
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.badstuff	Su huesudo golpe te cuesta 2 Niveles.
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.badstuff	Cogida de gravedad. Mueres.
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.badstuff	Te coge, te aplasta, te babea y te zampa. Estás doble o triplemente muerto. ¿Alguna pregunta?
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.badstuff	Eres pisoteado y masticado. Dejas caer las cosas en tu huida. Empezando por el jugador a tu derecha, cada jugador puede coger una de las cartas de tesoro que hay frente a ti, o coger una carta de tu mano (sin mirar).
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.badstuff	Pierdes todos tus objetos y todas las cartas de tu mano.
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.badstuff	Bajas hasta Nivel 1.
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.badstuff	Compras un seguro. Pierdes 1.000 Piezas de Oro en objetos. Si no tienes tanto, pierdes todo lo que tienes.
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.badstuff	Estas cosas dan hambre. Te come. Estás muerto.
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.badstuff	Una muerte innombrable, horrible, aberrante e incognoscible para cualquiera que no sea un Mago. Los Magos sólo pierden sus poderes; descarta la carta de Mago.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.badstuff	Te aplasta de un pisotón y se come tu sombrero. Pierdes el Cubrecabeza que lleves puesto.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.badstuff	Su beso realmente asfixiante te cuesta 2 Niveles (3 para los Elfos).
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.badstuff	Atranca la puerta y te cuenta la vida y milagros de su personaje. Pierdes 3 Niveles.
base.door.55e5c91e-a987-4900-abec-0f502175288a.badstuff	Tira un dado. Con una tirada de 1 ó 2 te pisotean hasta la muerte. En otro caso, pierdes tantos Niveles como indique el dado.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.badstuff	Puede olerte desde cualquier lugar. Si pierdes, no puedes Huir; nada puede ayudarte. Pierdes 3 Niveles.
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.badstuff	Fastidia el equilibrio del juego, obligándote a dejar que el jugador (o jugadores en el caso de empate) de Nivel más alto te quite un objeto (cada uno, si son varios jugadores).
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.badstuff	Te acaba de currar una mujer. Has perdido tu orgullo de machote munchkinero. Pierdes tu Clase (o Clases). Si ya no tienes Clase, pierdes 3 Niveles.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.badstuff	Pierdes 3 Niveles.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.badstuff	Tu Nivel se iguala al del personaje en juego con el Nivel más bajo.
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.badstuff	Cuando te chupa la cara se lleva tu Cubrecabeza. Descarta todo lo que lleves en la cabeza y pierde 1 Nivel.
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.badstuff	Te golpea con una demanda. Deja que todos los demás jugadores escojan una carta de tu mano, empezando por el jugador que se encuentra a tu izquierda. Descarta las cartas que te queden.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.badstuff	Descarta toda tu mano o pierde 2 Niveles.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.badstuff	¡Ataque de vómito astral! Descarta toda tu mano.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.badstuff	Te conviertes en un Humano normal y aburrido. Descártate de cualquier carta de Raza o Clase que tengas en juego.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.badstuff	Su música es mala de verdad. Pierdes 2 Niveles.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.badstuff	Te roba 2 objetos, elegidos por los jugadores que se encuentren a tu lado.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.badstuff	Te roban el tesoro. Tira un dado y pierde esa cantidad de objetos o cartas de tu mano (a tu elección).
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.badstuff	Da coces, muerde y huele fatal. Pierdes 2 Niveles.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.badstuff	¡Muerden! Pierdes 2 Niveles.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.badstuff	Si no tienes éxito al Huir, debes descartar todos los objetos Grandes.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.badstuff	Picotazos muy dolorosos. Pierdes 1 Nivel.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.badstuff	Marcas de colmillos en el culo. Pierdes 2 Niveles
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.badstuff	Descarta la armadura y todos los objetos que se lleven por debajo de la cintura.
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.badstuff	Descarta el Calzado que lleves puesto. Pierdes 1 Nivel si no llevas Calzado.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.badstuff	Te atiza con la muleta. Pierdes 1 Nivel.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.badstuff	Te machaca. Pierdes 1 Nivel.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.badstuff	Ninguno. Se puede Huir de forma automática.
monster.thumbnail.rewardlevels	Niveles
monster.thumbnail.treasures	Tesoros
monster.badstuff	<b><i>Mal Rollo:</i></b>
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.name	1000 Piezas de Oro
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.name	Masacre de Hormigas de Nivel 1 / 1000 con Agua Hirviendo
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.name	Sobornar al Máster con Comida
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.name	Conveniente Error de Sum
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.name	Invocar Reglas Ignota
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.name	Matar al Escudero
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.name	Mutilar los Cadáveres
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.name	Poción de Viril Masculinidad
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.name	Llorarle al Máster
base.treasure.377084fc-4baa-4efa-944b-fd090892c031.name	Pañuelo para Tipos Duros
base.treasure.eb7c59af-c029-4b93-bf65-1cca669e1d1a.name	Botas de Invocación de Hemorroides
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.name	Botas de Correr Muy Muy Rápido
base.treasure.a93afb4f-fc2a-489b-9f94-e5ee450af48f.name	Arco con Lacitos
base.treasure.f08f4fef-42c6-4b3e-b189-cc5dd37d00a8.name	Espada Emasculadora
base.treasure.57f25b88-39fc-448c-b345-bcd6f8cf18d9.name	El Broquel del Doncel
base.treasure.0ec11cb6-b54b-4149-907f-c5c593de9f83.name	Motosierra de Mutilación Sangrienta
base.treasure.b25c2d56-b5b7-4f69-ad18-50218663e904.name	Rallador de Queso de la Paz
base.treasure.d2e348c6-1d45-4de2-b4ba-f1b5299594f7.name	Capa de Sombra
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.name	Coción de Ponfusión
base.treasure.b7b46f34-6a41-46ec-8931-df8080fc7e91.name	Daga Traicionera
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.name	Doppelganger
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.name	Poción de Ácido Electrorradioactivo
base.treasure.8ff92ccf-abcf-4190-b405-828766f21113.name	Lanza Desmesurada
base.treasure.c6fe1a3b-7c10-4703-b4fb-497bb375389f.name	Armadura Llameante
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.name	Poción de Veneno Ardiente
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.name	Frasco de Pegamento
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.name	Poción Congelante Explosiva
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.name	Poción de Amistad
base.treasure.89a4bc60-e43e-4145-a2af-a82600c9c261.name	Porra de Masculinidad Sublimada
base.treasure.24b6690b-4ac7-4ad0-b8b2-14e93e59d441.name	Martillo Destrozarrodilla
base.treasure.960594e9-a865-42ea-ba5a-461f8063681d.name	Yelmo de Valor
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.name	Yelmo Cornudo
base.treasure.d161d2e4-ac68-4c7b-9717-0622bc3bc9cb.name	Roca Enorme
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.name	Muro Instantáneo
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.name	Poción de Invisibilidad
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.name	Rodilleras de Seducción
base.treasure.67b44251-96b9-431a-ac9d-f733809e7097.name	Armadura de Cuer
base.treasure.4e5de80a-9f85-42e7-8cf7-9e226f499824.name	Sándwich de Cabrales con Anchoa
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.name	Dado Cargado
base.treasure.465e86f2-0caf-40cc-a01d-28009a2aaf4c.name	Maza Afilada
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.name	Lámpara Maravillos
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.name	Misil Mágico
base.treasure.e712b749-e3ea-4d07-9169-72c33baea44f.name	Armadura de Mithril
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.name	Bebida Deportiva de Sabor Repugnante
base.treasure.a4b9df0f-71ad-4e20-9c61-cc2e6822d44d.name	Leotardos de Fuerza de Gigante
base.treasure.e0b9571f-352f-4728-b29c-eee1d4870e7b.name	Sombrero Puntiagudo de Poder
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.name	Poción de Pollimorfización
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.name	Poción de Halitosis
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.name	Poción de Valentía Estúpida
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.name	Globitos de Colores
base.treasure.f8f3606d-0532-46bf-aeba-060b370ca22a.name	Estoque de la Injusta Ventaja
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.name	Pinchito de Rata
base.treasure.4a44eff7-1d4d-43bc-8994-9d9e0533cfaf.name	Título Realmente Impresionante
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.name	Sandalias de Protección
base.treasure.40c01965-1169-4e05-a1c1-fc8719bb36bf.name	Sandalias de Protección
base.treasure.91af4f9b-1ab3-4e6d-a606-ee73d9511354.name	Armadura Rechoncha
base.treasure.a7cfecc2-8f03-469c-86d1-eca7abd48563.name	Espada Danzante y Cantante
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.name	Poción de Sueño
base.treasure.e40ee953-081e-4b41-b095-0ca9ad681d8a.name	Armadura Pegajos
base.treasure.f1a6aaf7-47ca-4952-b46b-b2e9bd5ae27a.name	Espada Bastarda y Traicionera
base.treasure.61bb425e-f07a-4db1-87cc-2fc4b8802c51.name	Rodilleras con Pinchos
base.treasure.9cc482d6-25ea-4502-bb10-12ed4deff95e.name	Báculo de Napalm
base.treasure.af9daf73-1d23-4ac1-b3c2-88bc10587054.name	Escaler
base.treasure.70b796bf-98e7-401d-b36f-e71399a3c403.name	Alabarda Suiza Multiusos
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.name	Poción de Transferencia
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.name	Tuba de Hechizar
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.name	Varita de Zahor
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.name	Anillo de los Deseos
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.name	Agua Mineral de Marca
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.name	Escudero Fiel
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.name	¡Tesoro!
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.name	Robar un Nivel
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.text	SUBE 1 NIVEL
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.text	SUBE 1 NIVEL
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.text	SUBE 1 NIVEL
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.text	SUBE 1 NIVEL
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.text	SUBE 1 NIVEL
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.text	SUBE 1 NIVEL<br>Sólo puedes jugar esta carta si el Escudero está en juego (sea cual sea el jugador que lo tenga). Descarta al Escudero.
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.text	SUBE 1 NIVEL<br>Esta carta sólo puede jugarse después de un combate, pero no tiene por qué ser tu combate.
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.text	SUBE 1 NIVEL
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.text	SUBE 1 NIVEL<br>No puedes usar esta carta si eres actualmente el jugador de más Nivel, o estás empatado con otros jugadores por ese puesto.
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.text	Te da +2 a Huir.
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.text	Usar durante cualquier combate. +3 a cualquier bando. Sólo puede usarse una vez.
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.text	Invoca a un doble exacto de tu personaje que lucha junto a ti, así que doblas tu fuerza de combate efectivo y todos los Bonus. Sólo puedes usar el Doppelganger si eres el único jugador involucrado en el combate. Sólo puede usarse una vez.
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.text	Usar durante cualquier combate, para distraer al oponente. +5 a cualquier bando. Sólo puede usarse una vez.
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.text	Usar durante cualquier combate. +3 a cualquier bando. Sólo puede usarse una vez.
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.text	Usar cuando alguien Huye con éxito de un combate por cualquier método. Deben volver a tirar el dado para Huir (incluso si consiguieron Huir automáticamente). Sólo puede usarse una vez.
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.text	Usar durante cualquier combate. +3 a cualquier bando. Sólo puede usarse una vez.
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.text	Usar durante cualquier combate. Descarta todos los monstruos del combate. No se gana tesoro. Sólo puede usarse una vez.
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.text	(+3 para los Elfos)
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.text	Permite a uno o dos personajes Huir automáticamente de cualquier combate. Sólo puede usarse una vez.
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.text	Descartar cuando se falle una tirada de Huir. Huyes automáticamente. Sólo puede usarse una vez.
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.text	Si le pides a alguien de mayor Nivel que tú que te ayude a luchar contra un monstruo, no puede negarse ni pedir siquiera una recompensa. No ganas el Nivel de ese combate.
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.text	Juégala después de que tires un dado. Cambia el resultado de la tirada por el número del dado que prefieras. Sólo puede usarse una vez.
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.text	Sólo puedes usar la Lámpara en tu propio turno. Invoca a un genio que hace que un monstruo desaparezca, incluso si ya has fallado tu tirada de Huir y estaba a punto de cogerte. Si era el único monstruo al que te estabas enfrentando, puedes coger su tesoro pero no subes de Nivel. Sólo puede usarse una vez.
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.text	Usar durante cualquier combate, para distraer al oponente. +5 a cualquier bando. Sólo puede usarse una vez.
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.text	Usar durante cualquier combate. +2 a cualquier bando. Sólo puede usarse una vez.
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.text	Usar durante cualquier combate. Convierte a cualquier monstruo en un pollo, que se marcha dejando atrás su tesoro. Sólo puede usarse una vez.
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.text	Usar durante cualquier combate. +2 a cualquier bando, o matar instantáneamente a la Nariz Voladora. Sólo puede usarse una vez.
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.text	Usar durante cualquier combate. +2 a cualquier bando. Sólo puede usarse una vez.
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.text	Usar durante cualquier combate, para distraer al oponente. +5 a cualquier bando. Sólo puede usarse una vez.
